,228_store_name,232_type_of_store,108_does_the_micro_retailer_has_a_barred_window_,99_does_the_micro_retailer_exhibits_products_outside_,102_does_the_micro_retailer_sells_fresh_products_,184_store_devices,5_change_store_space_last_year,6_change_employees_average_salary_last_year,20_reviews_finances_monthly,49_inventory_records,18_sales_records,155_sales_registers_used_for,19_tax_id,310_burnout,186_internet_connection,210_sales_channels,189_payment_methods,28_prefered_payment_method,31_different_prices_payment_method,271_card_fee,273_platform_extra_charge,274_platform_fee,275_platform_days_receive_money,30_payment_methods_large_purchases,214_customer_relationship_tools,33_credit_to_customers,35_interest_rate,193_sales_planning_tools,227_agreement_ecommerce_platforms,60_services,77_delivery_timeslots,79_delivery_vehicle,64_comission_services,69_why_not_services,311_topups,312_payment_of_utilities,313_home_deliveries,314_reception_delivery_packages,42_willingness_share_inventory_data_suppliers,44_willingness_inventory_management_suppliers,45_willingness_reorder_suppliers,46_willingness_reorder_suppliers_variety,47_willingness_reorder_suppliers_lower_prices,43_willingness_share_sales_data_suppliers,58_willingness_share_sales_data_mse,59_willingness_share_sales_data_mse_better_prices,185_place_orders_suppliers,53_special_conditions_suppliers,278_credit_interest,192_procurement_planning_tools,277_payment_method_suppliers,56_procurement_changes_pandemic,279_changes_procurement_pandemic,161_actions_stockouts,162_inventory_extra_space,163_number_high_perishable_products,249_technology_training,250_technology_investment_operations,251_technology_investment_customers,254_technology_roadmap,260_technology_scalable,261_technology_organization,262_technology_serve_customers,263_technology_secure_sales,264_technology_budget,267_technology_investment_customer_preferences,318_shopkeeper_name
14,Tortas planchadas,Micro-restaurant (aka. fondita),no,no,no,Smartphone,No cambió,No cambió,yes,No lo hago,En papel,,yes,no,yes,"Llamada a Teléfono celular,WhatsApp",Efectivo,,,,,,,,Aplicación móvil,no,,Ninguna,no,Ninguno,,,,No quiero involucrarme con la tecnología,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"Llamada telefónica,Mensaje de texto (SMS)",,,Ninguna,Efectivo,no,,Ofrecer un producto sustituto,20%,1.0,De acuerdo,De acuerdo,De acuerdo,Totalmente en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Misael 
15,Dulceria ,Dulceria ,no,no,no,"POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",No cambió,No cambió,yes,Software especializado + computadora,Software especializado + computadora,,yes,no,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",,,,,,,,Redes sociales,yes,no,Ninguna,no,Ninguno,,,,"No creo que represente grandes ingresos,No quiero involucrarme con la tecnología",Algo de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,"En persona,Llamada telefónica,Mensajería instantánea (e.g. WhatsApp)",,,Ninguna,"Efectivo,Transferencia interbancaria",no,,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",10%,20.0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente de acuerdo,Andrea 
16,Acuario y mascotas ,Pet store,yes,no,no,"Security cameras,Smartphone",No cambió,Disminuyó 25%,yes,En Excel,"Aplicación móvil (i.e. App) + smartphone,Caja registradora (análoga)",,yes,yes,no,"Redes sociales (e.g. Facebook, Instagram)","Aplicación móvil (e.g. CODI),Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",,,,,,,,"Aplicación móvil,Redes sociales",yes,no,Software especializado,no,Entrega a domicilio,,,6%+,"No creo que represente grandes ingresos,No quiero involucrarme con la tecnología",Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"Email,Mensajería instantánea (e.g. WhatsApp)",Crédito,0,Software especializado,Transferencia interbancaria,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos","Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",10%,0.0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Misael Gómez 
17,Tortas cue,Micro-restaurant (aka. fondita),no,no,no,Smartphone,No cambió,Aumentó 25%,no,No lo hago,No lo hago,Se lleva al día ,no,no,yes,"Llamada a Teléfono celular,WhatsApp",Efectivo,,,,,,,,"Aplicación móvil,Redes sociales",yes,no,Ninguna,no,Entrega a domicilio,,,1%,"No creo que represente grandes ingresos,No quiero involucrarme con la tecnología",Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Llamada telefónica,,,Ninguna,Efectivo,yes,"Aumentar la variedad de productos.,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Ofrecer un producto sustituto,0,15.0,De acuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,De acuerdo,Jesus 
18,Tacos Robert,Micro-restaurant (aka. fondita),no,yes,no,Smartphone,No cambió,Aumentó 25%,no,En papel,En papel,Se lleva al día ,no,yes,no,"Llamada a Teléfono celular,WhatsApp","Efectivo,Transferencia interbancaria",,,,,,,,Ninguna,no,,Cuaderno,no,Ninguno,,,,No quiero involucrarme con la tecnología,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,,,,,,,,,,,,,,,,Ofrecer un producto sustituto,0,1.0,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Jesus 
19,Productos Aldhemi,Cosmetiquera ,no,no,no,"Security cameras,Smartphone",No cambió,Aumentó 25%,yes,En Excel,En Excel,Se lleva al día ,no,yes,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,,,,,,,,"Cuaderno,Redes sociales",no,,Ninguna,no,"Entrega a domicilio,Pago de servicios públicos (e.g. Yastas),Recarga telefónica",,,,No quiero involucrarme con la tecnología,,,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Mensajería instantánea (e.g. WhatsApp),,,,,,,"Informar al proveedor,Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",30%,1.0,De acuerdo,Totalmente de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Andrea Monserrat 
20,Mony ,Dairy products,no,yes,yes,"Analog cash register,Smartphone",No cambió,No cambió,no,No lo hago,Contadora,Se lleva al día ,yes,no,no,Llamada a Teléfono fijo,Efectivo,,,,,,,,Ninguna,no,,Cuaderno,no,Ninguno,,,,No conozco los servicios,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Página web del proveedor","Crédito,Descuento por compras anticipadas",0,"Aplicación móvil,Cuaderno",Efectivo,yes,Disminuir la cantidad del pedido,Informar al proveedor,0,2.0,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo,De acuerdo,Andrea Monserrat 
21,dulce detalle,Grocery store (aka. nanostore),no,yes,no,Dataphone (i.e. card payments),No cambió,No cambió,no,No lo hago,Contadora,Se lleva al día ,yes,no,no,Llamada a Teléfono fijo,Efectivo,,,,,,,,Ninguna,no,,Cuaderno,,Ninguno,,,,No conozco los servicios,,,Algo en desacuerdo,,,,,,,,,,,,,,,,,Informar al proveedor,,,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo,De acuerdo,Andrea Monserrat 
22,Jerusalen,Grocery store (aka. nanostore),no,no,no,"Analog cash register,Dataphone (i.e. card payments)",No cambió,No cambió,no,No lo hago,Contadora,Se lleva al día ,yes,no,no,Llamada a Teléfono fijo,Efectivo,,,,,,,,Ninguna,no,,Cuaderno,,Ninguno,,,,No conozco los servicios,,,Algo en desacuerdo,,,,,,,,,,,,,,,,,Informar al proveedor,,,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo,De acuerdo,Andrea Monserrat 
23,Salchichonerias San Pedro ,Butcher shop,no,no,yes,"Analog cash register,Smartphone",No cambió,No cambió,no,No lo hago,Contadora,Se lleva al día ,yes,no,no,Llamada a Teléfono fijo,Efectivo,,,,,,,,Ninguna,no,,Cuaderno,,Ninguno,,,,No conozco los servicios,,,Algo en desacuerdo,,,,,,,,,,,,,,,,,Informar al proveedor,,,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo,De acuerdo,Andrea Monserrat 
24,Abarrotes Diana,Grocery store (aka. nanostore),no,no,no,Analog cash register,No cambió,No cambió,no,No lo hago,Contadora,Se lleva al día ,yes,no,no,Llamada a Teléfono fijo,Efectivo,,,,,,,,Ninguna,no,,Cuaderno,,Ninguno,,,,No conozco los servicios,,,Algo en desacuerdo,,,,,,,,,,,,,,,,,Informar al proveedor,,,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo,De acuerdo,Andrea Monserrat 
25,Abarrotes jaime,Grocery store (aka. nanostore),no,no,no,Smartphone,No cambió,No cambió,no,No lo hago,En papel,Se lleva al día ,yes,no,yes,Llamada a Teléfono fijo,Efectivo,,,,,,,,Ninguna,yes,,Cuaderno,no,Recarga telefónica,,,,No conozco los servicios,,,Algo en desacuerdo,,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,,,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Llamada telefónica,Descuento por compras anticipadas,0,"Cuaderno,Excel",Efectivo,no,,Informar al proveedor,,10.0,De acuerdo,En desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo,De acuerdo,Jaime
26,Abarrotes el solecito,Grocery store (aka. nanostore),no,no,no,Smartphone,No cambió,No cambió,no,No lo hago,En papel,Se lleva al día ,yes,no,yes,Llamada a Teléfono fijo,Efectivo,,,,,,,,Ninguna,yes,,Cuaderno,,Recarga telefónica,,,,No conozco los servicios,,,Algo en desacuerdo,,,,,,,,,,,,,,,,,Informar al proveedor,,,De acuerdo,En desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo,De acuerdo,Jaime
27,Miscelánea el zócalo ,Grocery store (aka. nanostore),no,no,no,"Security cameras,Smartphone",No cambió,No cambió,no,No lo hago,En papel,Se lleva al día ,yes,no,yes,Llamada a Teléfono fijo,Efectivo,,,,,,,,Ninguna,yes,,Cuaderno,,Recarga telefónica,,,,No conozco los servicios,,,Algo en desacuerdo,,,,,,,,,,,,,,,,,Informar al proveedor,,,De acuerdo,En desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo,De acuerdo,Jaime
28,La pirámide ,Grocery store (aka. nanostore),no,no,no,Smartphone,No cambió,No cambió,no,No lo hago,En papel,Se lleva al día ,yes,no,yes,Llamada a Teléfono fijo,Efectivo,,,,,,,,Ninguna,yes,,Cuaderno,,Recarga telefónica,,,,No conozco los servicios,,,Algo en desacuerdo,,,,,,,,,,,,,,,,,Informar al proveedor,,,De acuerdo,En desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo,De acuerdo,Jaime
29,Miscelánea teocalli ,Grocery store (aka. nanostore),no,no,no,Smartphone,No cambió,No cambió,no,No lo hago,En papel,Se lleva al día ,yes,no,yes,Llamada a Teléfono fijo,Efectivo,,,,,,,,Ninguna,yes,,Cuaderno,,Recarga telefónica,,,,No conozco los servicios,,,Algo en desacuerdo,,,,,,,,,,,,,,,,,Informar al proveedor,,,De acuerdo,En desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo,De acuerdo,Jaime
30,Carnicería la cubana ,Butcher shop,no,no,yes,Security cameras,No cambió,No cambió,no,No lo hago,En papel,Se lleva al día ,yes,no,yes,Llamada a Teléfono fijo,Efectivo,,,,,,,,Ninguna,yes,,Cuaderno,,Recarga telefónica,,,,No conozco los servicios,,,Algo en desacuerdo,,,,,,,,,,,,,,,,,Informar al proveedor,,,De acuerdo,En desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo,De acuerdo,Jaime
31,Providencia ,Grocery store (aka. nanostore),no,yes,no,Smartphone,No cambió,No cambió,no,No lo hago,En papel,Se lleva al día ,yes,no,yes,Llamada a Teléfono fijo,Efectivo,,,,,,,,Ninguna,yes,,Cuaderno,,Recarga telefónica,,,,No conozco los servicios,,,Algo en desacuerdo,,,,,,,,,,,,,,,,,Informar al proveedor,,,De acuerdo,En desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo,De acuerdo,Jaime
32,Carnicería la sorpresa ,Butcher shop,no,yes,yes,Smartphone,No cambió,No cambió,no,No lo hago,En papel,Se lleva al día ,yes,no,yes,Llamada a Teléfono fijo,Efectivo,,,,,,,,Ninguna,yes,,Cuaderno,,Recarga telefónica,,,,No conozco los servicios,,,Algo en desacuerdo,,,,,,,,,,,,,,,,,Informar al proveedor,,,De acuerdo,En desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo,De acuerdo,Jaime
33,Miscelánea yolks ,Grocery store (aka. nanostore),no,no,no,Smartphone,No cambió,No cambió,no,No lo hago,En papel,Se lleva al día ,yes,no,yes,Llamada a Teléfono fijo,Efectivo,,,,,,,,Ninguna,yes,,Cuaderno,,Recarga telefónica,,,,No conozco los servicios,,,Algo en desacuerdo,,,,,,,,,,,,,,,,,Informar al proveedor,,,De acuerdo,En desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo,De acuerdo,Jaime
